query,stages,added_by,media_type,geo,text_sim,image_sim,eval,metadata,label_type,,,,,,,,,,,,,,,,,
Images that only contain dogs,[match(F('ground_truth.detections.label').is_subset(['dog']))],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Get samples that do NOT have a value for `new_field`,[match(~F('new_field').exists())],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
"Only contains samples with `uniqueness` in [0.25, 0.75]",[match(abs(F('uniqueness') - 0.5) < 0.25)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Samples with odd seconds,[match(F('created_at').second() % 2 != 0)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
view of samples with non-None 'data_field',[match(F('data_field').type() != 'null')],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
On the 24th of the month,[match(F('date').day_of_month() == 24)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
On even day of the week,[match(F('date').day_of_week() % 2 == 0)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
On the 268th day of the year,[match(F('date').day_of_year() == 268)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
With minute not equal to 0,[match(F('date').minute() != 0)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
In september,[match(F('date').month() == 9)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
In the 38th week of the year,[match(F('date').week() == 38)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
2022,[match(F('date').year() == 2022)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Samples with even milliseconds for the 'event_time' field,[match(F('event_time').millisecond() % 2 == 0)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
a view of all samples with arccos('field_to_apply_to') less than 0.2,[match(F('field_to_apply_to').arccos() < 0.2)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Get samples whose images are JPEGs or PNGs,"[match(F('filepath').ends_with(('.jpg', '.png')))]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Filepath ends with '10.jpg' or '10.png',"[match(F('filepath').ends_with(('10.jpg', '10.png'))]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
get the filepaths that are strings,[match(F('filepath').is_string())],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Filepath contains “088” and is JPEG,[match(F('filepath').re_match('088*.jpg'))],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Filepath starts with '/Users',[match(F('filepath').starts_with('/Users'))],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
images where sinh of my_numeric_field is greater than 0.6,[match(F('my_numeric_field').sinh() > 0.6)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Uniqueness > 0.9,[match(F('uniqueness') > 0.9)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Create view that only contains samples with uniqueness = None,[match(F('uniqueness').is_null())],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Only include samples whose `weather` field is 'sunny',[match(F('weather').label == 'sunny')],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
"Create a view containing samples whose `str` field have the given: ['1', '51', '11', '41', '21', '31'], in order","[select_by('str', ['1', '51', '11', '41', '21', '31'], ordered=True)]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
"Create a view containing samples whose `int` field have 1, 51, or 33","[select_by('int', [1, 51, 33])]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Only show 'mistakenness',[select_fields('mistakenness')],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Include only the `uniqueness` field,[select_fields('uniqueness')],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Get all labels with the test tag,[select_labels(tags='test')],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Map numeric `my_field` values to 1 and null values to 0,"[set_field('my_field', F('my_field').type().cases(LEFTBRACKET'double': 1, 'null': 0RIGHTBRACKET))]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Replace all values of the `uniqueness` field that are less than 0.5 with `None`,"[set_field('uniqueness', (F('uniqueness') >= 0.5).if_else(F('uniqueness'), None))]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Round `uniqueness` values to either 0.25 or 0.75,"[set_field('uniqueness', F('uniqueness').switch(LEFTBRACKET(0.0 < F()) & (F() <= 0.5): 0.25, (0.5 < F()) & (F() <= 1.0): 0.75RIGHTBRACKET))]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
exclude the tag 'my_tag',"[set_field('tags', F('tags').difference(['my_tag']))]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
create a view that only shows the 'cvat' and 'labelbox' tags,"[set_field('tags', F('tags').intersection(['cvat', 'labelbox']))]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
select the train and test tags,"[set_field('tags', F('tags').intersection(['train', 'test']))]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Convert all tags to lowercase,"[set_field('tags', F('tags').map(F().lower()))]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
show me random samples,[shuffle()],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
shuffle,[shuffle()],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
skip the first 10 samples,[skip(10)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
don't show me the first 30,[skip(30)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Sort by filepath,[sort_by('filepath')],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
ten least wrong predictions,"[sort_by('mistakenness', reverse=False), limit(10)]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
10 most “wrong” predictions,"[sort_by('mistakenness', reverse=True), limit(10)]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
15 most wrong predictions,"[sort_by('mistakenness', reverse=True), limit(15)]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
sort samples by 'numeric_field' in ascending order,"[sort_by('numeric_field', reverse=False)]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
10 most unique images,"[sort_by('uniqueness'), limit(10)]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
20 least unique samples,"[sort_by('my_uniqueness_fields', reverse = True), limit(20)]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
take 10 random samples from the dataset with seed=51,"[take(10, seed=51)]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Take two random samples from the dataset,[take(2)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
show me 50 random samples,[take(50)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
shuffle the samples and take the last 4,"[shuffle(), skip(-4)]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
last 50 samples,[skip(-50)],Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
"add a new tag ""xyz"" to each sample","[set_field(""tags"", F('tags').append('xyz'))]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
delete first tag from each image,"[set_field(""tags"", F('tags')[1:])]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
sort samples by number of tags,"[sort_by(F(""tags"").length())]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
show me samples with more than one tag,"[match(F(""tags"").length() > 1)]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
samples 40-70,"[skip(40), limit(30)]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
I want to see the samples whose predicted price is > 60,"[match(F(""predicted_price.value"") < 60.)]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Find my 8 biggest flaws,"[sort_by(""""mistakenness"""", reverse=True), limit(8)]",Leila,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Sort images by hardness,"[sort_by(""""hardness"""", reverse=True)]",Leila,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
"Find all samples where the filepath contains ""08"" or ""09""","[match(F(""filepath"").contains_str([""08"", ""09""])]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
"Retrieve any images whose filepath has ""ab"" and ""xy""","[match(F(""filepath"").contains_str([""ab""]) & F(""filepath"").contains_str([""xy""]))]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
"Show me just the labels that have the tag ""tagA"" but don't have tag ""tagB""","[filter_labels(""predictions"", F(""tags"").contains(""tagA"") & ~F(""tags"").contains(""tagB""))]",Jacob,all,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Exclude frame with id 'kbdskajdvfef',[exclude_frames(['kbdskajdvfef'])],Jacob,video,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,FALSE
clip view with one clip per meeting,"[filter_labels('events', F('label') == 'meeting'), to_clips('events')]",Jacob,video,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,FALSE
Create a clips view that contains one clip for each contiguous segment that contains at least one road sign in every frame,"[filter_labels('frames.detections', F('label') == 'road sign'), to_clips('frames.detections')]",Jacob,video,FALSE,FALSE,FALSE,FALSE,FALSE,detection,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,FALSE
Create a trajectories view for the vehicles in the dataset,"[filter_labels('frames.detections', F('label') == 'vehicle'),
 to_trajectories('frames.detections')]",Jacob,video,FALSE,FALSE,FALSE,FALSE,FALSE,detection,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,FALSE
show 'vehicle' detections in the 'detections' field,"[filter_labels('frames.detections', F('label') == 'vehicle')]",Jacob,video,FALSE,FALSE,FALSE,FALSE,FALSE,detection,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,FALSE
"Create a frames view that only contains frames with at least 10 objects, sampled at a maximum frame rate of 1fps","[match_frames(F('detections.detections').length() > 10), to_frames(max_fps=1)]",Jacob,video,FALSE,FALSE,FALSE,FALSE,FALSE,detection,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,FALSE
Frames with at least 10 detections,[match_frames(F('detections.detections').length() > 10)],Jacob,video,FALSE,FALSE,FALSE,FALSE,FALSE,detection,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,FALSE
select just the first and last frames in the first sample,"[select_frames([dataset.first().frames.first().id, dataset.last().frames.last().id])]",Jacob,video,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,FALSE
Create a clips view with one clip per event,[to_clips('events')],Jacob,video,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,FALSE
Create a clips view that contains one clip for each contiguous segment that contains at least two road signs in every frame,[to_clips(F('detections.detections').filter(F('label') == 'road sign').length() >= 2)],Jacob,video,FALSE,FALSE,FALSE,FALSE,FALSE,detection,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,TRUE
frames with set filepath,[to_frames()],Jacob,video,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,TRUE
Create a frame patches view,"[to_frames(sample_frames=True), to_patches('detections')]",Jacob,video,FALSE,FALSE,FALSE,FALSE,FALSE,detection,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,TRUE
Frames view,[to_frames(sample_frames=True)],Jacob,video,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,TRUE
sort by width,"[sort_by(F(""metadata.frame_width""))]",Jacob,video,FALSE,FALSE,FALSE,FALSE,TRUE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,TRUE
"sort by frame width, with widest frames first","[sort_by(F(""metadata.frame_width""), reverse = True)]",Jacob,video,FALSE,FALSE,FALSE,FALSE,TRUE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,TRUE
sort by height of the videos,"[sort_by(F(""metadata.frame_height""))]",Jacob,video,FALSE,FALSE,FALSE,FALSE,TRUE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,TRUE
sort video by size,"[sort_by(F(""metadata.size_bytes""))]",Jacob,video,FALSE,FALSE,FALSE,FALSE,TRUE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,TRUE
10 largest videos,"[sort_by(F(""metadata.size_bytes""), reverse = True), limit(10)]",Jacob,video,FALSE,FALSE,FALSE,FALSE,TRUE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,TRUE
videos with frame rate higher than 30 fps,"[match(F(""metadata.frame_rate"") > 30)]",Jacob,video,FALSE,FALSE,FALSE,FALSE,TRUE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,TRUE
"sort the movies by frame rate, with fastest first","[sort_by(F(""metadata.frame_rate""), reverse = True)]",Jacob,video,FALSE,FALSE,FALSE,FALSE,TRUE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,TRUE
videos that are wider than they are tall,"[match(F(""metadata.frame_width"")>F(""metadata.frame_height""))]",Jacob,video,FALSE,FALSE,FALSE,FALSE,TRUE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,TRUE
videos that are approximately square,"[match(abs(F(""metadata.frame_width"")-F(""metadata.frame_height""))<1)]",Jacob,video,FALSE,FALSE,FALSE,FALSE,TRUE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,TRUE
all the videos whose frames are at least 1.5 times as tall as they are wide,"[match(1.5*F(""metadata.frame_width"")<F(""metadata.frame_height""))]",Jacob,video,FALSE,FALSE,FALSE,FALSE,TRUE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,TRUE
retrieve all movies that have between 50 and 100 frames,"[match(F(""metadata.total_frame_count"") > 50), match(F(""metadata.total_frame_count"") < 50)]",Jacob,video,FALSE,FALSE,FALSE,FALSE,TRUE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,FALSE,FALSE
show me the videos with more than 75 frames,"[match(F(""metadata.total_frame_count"") > 75)]",Jacob,video,FALSE,FALSE,FALSE,FALSE,TRUE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,TRUE,FALSE
only show videos that are longer than 4 seconds,"[match(F(""metadata.duration"") > 4)]",Jacob,video,FALSE,FALSE,FALSE,FALSE,TRUE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,TRUE,FALSE
give me the 10 longest videos,"[sort_by(F(""metadata.duration""), reverse=True), limit(10)]",Jacob,video,FALSE,FALSE,FALSE,FALSE,TRUE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,TRUE,FALSE
"Restrict to frames which have field ""my_field""","[dataset.match_frames(F(""my_field""))]",Jacob,video,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,video,FALSE,FALSE,FALSE,TRUE,FALSE
Sort by the total number of false positives across all frames in the video,"[sort_by(""EVAL_KEY_fp"")]",Jacob,video,FALSE,FALSE,FALSE,TRUE,FALSE,all,,,,,,,,,,,,video,FALSE,TRUE,FALSE,FALSE,FALSE
Give me all vids with at least 1k total false negatives,"[match(F(""EVAL_KEY_fn"")>1000)]",Jacob,video,FALSE,FALSE,FALSE,TRUE,FALSE,all,,,,,,,,,,,,,,,,,
show all frames with more than 5 TP predictions,"[match_frames(F(""EVAL_KEY_tp"") > 5)]",Jacob,video,FALSE,FALSE,FALSE,TRUE,FALSE,all,,,,,,,,,,,,,,,,,
any frames with 2 or more FPs and 3 or more FNs,"[match_frames(F(""EVAL_KEY_fp"") > 2), match_frames(F(""EVAL_KEY_fn"") > 3)]",Jacob,video,FALSE,FALSE,FALSE,TRUE,FALSE,all,,,,,,,,,,,,,,,,,
Give me the 5 frames that look most like it is raining out,"[to_frames(), sort_by_similarity(""rainy"", brain_key=""TEXT_SIM_KEY"", k = 5)]",Jacob,video,FALSE,TRUE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Only include samples that have prediction confidences,[exists('predictions.confidence')],Jacob,image,FALSE,FALSE,FALSE,FALSE,FALSE,classification,,,,,,,,,,,,,,,,,
Only include classifications in the `predictions` field whose label is camel,"[filter_field('predictions', F('label') == 'camel')]",Jacob,image,FALSE,FALSE,FALSE,FALSE,FALSE,classification,,,,,,,,,,,,,,,,,
Remove tags from samples that don't include the 'validation' tag,"[filter_field('tags', F().contains('validation'))]",Jacob,image,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Only include keypoints in the `predictions` field whose `confidence` is greater than 0.9,"[filter_keypoints('predictions', filter=F('confidence') > 0.9)]",Jacob,image,FALSE,FALSE,FALSE,FALSE,FALSE,keypoint,,,,,,,,,,,,,,,,,
keypoints in the `predictions` field with label 'left eye' or 'right eye',"[filter_keypoints('predictions', labels=['left eye', 'right eye'])]",Jacob,image,FALSE,FALSE,FALSE,FALSE,FALSE,keypoint,,,,,,,,,,,,,,,,,
Only include samples whose ground truth `label` is 'slug' or 'conch',"[filter_labels('ground_truth', (F('label') == 'slug') | (F('label') == 'conch'))]",Jacob,image,FALSE,FALSE,FALSE,FALSE,FALSE,classification,,,,,,,,,,,,,,,,,
Show me images that contain a railroad,[match(F('ground_truth.detections.label').contains(['railroad'])],Eric,image,FALSE,FALSE,FALSE,FALSE,FALSE,detection,,,,,,,,,,,,,,,,,
Only show predictions with label 'cat' and confidence > 0.9,"[filter_labels('predictions', (F('label') == 'cat') & (F('confidence') > 0.9))]",Jacob,image,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Discard all predictions with confidence below 0.3,"[filter_labels('predictions', F('confidence') > 0.3, only_matches=False)]",Jacob,image,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Only include classifications in the `predictions` field whose label is 'frog' or 'turtle',"[filter_labels('predictions', F('label').is_in(['frog', 'turtle']))]",Jacob,image,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
Only include polylines in the `faster-rcnn` field whose `label` is 'lane',"[filter_labels('faster-rcnn', F('label') == 'lane')]",Jacob,image,FALSE,FALSE,FALSE,FALSE,FALSE,all,,,,,,,,,,,,,,,,,
